Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,MA_5,MA_10,Price_Change,Volatility
2016-12-30,AXISBANK,EQ,444.25,445.5,452.2,445.05,450.3,449.95,450.18,4616817,207838735470000.0,87570.0,2532353.0,0.5485,440.7799999999994,447.6499999999992,0.012830613393359558,6.773994390039851
2017-05-30,AXISBANK,EQ,507.25,505.0,516.95,503.65,514.0,514.4,512.4,4725430,242132042930000.03,81509.0,1690453.0,0.3577,507.96999999999935,503.92499999999916,0.014095613602759904,5.6879917366782795
2012-06-22,AXISBANK,EQ,1025.45,1006.0,1022.0,997.55,1012.1,1014.3,1011.15,2011688,203412763330000.0,57879.0,646199.0,0.3212,1008.4399999999998,1022.6899999999987,-0.010873275147496364,11.169288249401564
2019-01-17,AXISBANK,EQ,664.0,669.9,680.0,665.6,674.9,676.65,671.64,10448209,701740568355000.0,127666.0,4210912.0,0.403,665.3899999999988,656.8249999999991,0.019051204819277023,6.913971362170633
2017-03-07,AXISBANK,EQ,518.65,519.0,519.9,509.25,512.0,511.8,512.32,6043543,309621167390000.0,113256.0,4118438.0,0.6815000000000001,512.6099999999994,513.6449999999991,-0.013207365275233696,4.406302304260447
2015-07-23,AXISBANK,EQ,589.85,590.0,598.55,581.4,582.8,583.75,588.9,5569255,327974424985000.0,101805.0,2454253.0,0.4407,592.0499999999998,589.6849999999995,-0.010341612274307077,8.531046242800908
2014-12-18,AXISBANK,EQ,474.85,483.0,490.0,480.0,490.0,487.95,484.65,3782348,183312922055000.0,51043.0,1583222.0,0.4186,478.99000000000007,485.8649999999996,0.027587659260819075,6.533509776266106
2020-10-27,AXISBANK,EQ,493.35,494.0,512.25,482.65,507.2,508.1,498.6,24240216,1208607031725000.0,269627.0,5108604.0,0.2107,504.0799999999973,491.35999999999996,0.029897638593290754,6.8306844456811495
2012-12-28,AXISBANK,EQ,1364.3,1364.0,1364.95,1348.1,1354.9,1359.55,1358.68,1218502,165554827000000.0,26257.0,760483.0,0.6241,1347.9399999999982,1345.889999999999,-0.0034816389357179567,17.021031108538647
2011-09-02,AXISBANK,EQ,1072.75,1104.0,1109.7,1048.1,1088.0,1080.4,1067.35,2218144,236752522075000.0,80834.0,1044614.0,0.4709,1042.429999999999,1057.534999999999,0.007131204847355077,34.21312978957871
2019-08-06,AXISBANK,EQ,662.45,658.7,682.85,654.0,678.4,679.0,673.72,12419831,836743587700000.0,343217.0,6315114.0,0.5085000000000001,671.7399999999984,695.1849999999996,0.024983017586232892,6.224688746988351
2017-04-21,AXISBANK,EQ,488.0,492.0,497.0,483.3,486.0,486.25,489.99,10301245,504748172590000.0,152480.0,6090748.0,0.5913,495.14999999999947,501.9299999999992,-0.0035860655737705027,7.4388339137576756
2012-03-26,AXISBANK,EQ,1179.35,1174.9,1174.9,1120.0,1126.0,1125.15,1137.88,2270885,258399053265000.0,86606.0,871769.0,0.3839,1179.2199999999996,1206.829999999999,-0.04595751897231515,36.861355102570144
2013-06-28,AXISBANK,EQ,1275.05,1292.0,1332.0,1287.5,1328.2,1325.2,1307.43,1450191,189602323250000.0,61586.0,775596.0,0.5347999999999999,1264.6299999999994,1271.0349999999983,0.03933179091016048,37.44103030096348
2018-12-26,AXISBANK,EQ,615.0,611.0,623.65,603.45,618.95,619.5,615.75,6519211,401421561270000.0,99749.0,2002212.0,0.30710000000000004,625.9899999999986,622.5799999999991,0.007317073170731714,10.988596361538308
2016-05-23,AXISBANK,EQ,490.6,495.4,495.4,485.0,485.7,486.5,490.79,4700955,230718783075000.0,86961.0,2336163.0,0.4970000000000001,494.4099999999997,492.78499999999923,-0.008357113738279742,7.366342375733296
